"student_id","nom","departement","Code_ue","intitulé_matière","enseignant","note"
735674,"Amah Doe","Génie électrique","RS180","Réseaux avancés","Pr. T. Lawson",0.18
664072,"Akoua Komlan","Génie Logiciel","ME101","Mécanique générale","Dr. Y. Amegah",19.71
988155,"Koffi Komlan","Informatique et Systèmes","ME101","Mécanique générale","Pr. D. Tchalla",6.71
417935,"Yao Agbeko","Génie mécanique","GL200","Conception logicielle","Pr. T. Lawson",6.31
235160,"Afi Lawson","Systèmes Réseaux","AI310","Machine Learning","Pr. G. Komlan",15.05
853408,"Eyram Agbeko","Génie électrique","SC120","Théorie des Signaux","Pr. G. Komlan",18.53
648512,"Koffi Tchalla","SCOM","CS220","Programmation avancée","Dr. M. Kpante",17.11
111446,"Mawuli Amouzou","Génie civil","EL201","Électrotechnique","Dr. K. Agbeko",12.44
135178,"Yao Kouma","Systèmes Réseaux","CS220","Programmation avancée","Dr. K. Agbeko",14.73
874958,"Kossi Agbeko","IA & Big Data","CS220","Programmation avancée","Dr. K. Agbeko",18.39
731978,"Eyram Amegah","Systèmes Réseaux","AI310","Machine Learning","Dr. M. Kpante",8.7
702571,"Afi Komlan","Génie électrique","SC120","Théorie des Signaux","Dr. K. Agbeko",6.73
563332,"Afi Lawson","Génie mécanique","CI150","Calcul scientifique","Pr. D. Tchalla",0.1
785480,"Komi Komlan","Systèmes Réseaux","SC120","Théorie des Signaux","Dr. M. Kpante",10.71
912728,"Amah Amouzou","Génie civil","SC120","Théorie des Signaux","Pr. L. Mensah",12.89
185177,"Elom Kouma","Systèmes Réseaux","AI310","Machine Learning","Pr. T. Lawson",2.9
992930,"Komi Komlan","Génie mécanique","RS180","Réseaux avancés","Pr. D. Tchalla",4.87
933134,"Abla Komlan","SCOM","SC120","Théorie des Signaux","Dr. Y. Amegah",2.01
515691,"Abla Amouzou","Génie électrique","EL201","Électrotechnique","Pr. D. Tchalla",7.23
927553,"Yao Tchalla","Génie civil","SC120","Théorie des Signaux","Dr. K. Agbeko",5.72
948043,"Yao Lawson","Systèmes Réseaux","SC120","Théorie des Signaux","Pr. L. Mensah",4.34
141888,"Abla Amouzou","Génie Logiciel","SC120","Théorie des Signaux","Dr. K. Agbeko",5.26
140927,"Afi Doe","Génie électrique","ME101","Mécanique générale","Pr. T. Lawson",11.8
752398,"Komi Tchalla","IA & Big Data","RS180","Réseaux avancés","Pr. T. Lawson",14.87
512883,"Abla Amegah","Génie Logiciel","SC120","Théorie des Signaux","Dr. M. Kpante",9.2
160402,"Komi Agbeko","Génie civil","CS220","Programmation avancée","Dr. M. Kpante",14.96
924931,"Elom Amouzou","Génie mécanique","CS220","Programmation avancée","Dr. S. Amouzou",15.26
426082,"Akoua Komlan","Génie civil","EL201","Électrotechnique","Dr. Y. Amegah",7.52
232711,"Amah Agbeko","Génie Logiciel","ME101","Mécanique générale","Pr. T. Lawson",14.8
219612,"Senam Lawson","Systèmes Réseaux","CS220","Programmation avancée","Dr. S. Amouzou",3.87
262579,"Abla Kouma","IA & Big Data","CI150","Calcul scientifique","Dr. S. Amouzou",16.22
942393,"Komi Amegah","Génie Logiciel","RS180","Réseaux avancés","Dr. M. Kpante",6.32
754001,"Koffi Amouzou","Génie mécanique","ME101","Mécanique générale","Pr. G. Komlan",12.68
927579,"Yao Kpante","Systèmes Réseaux","EL201","Électrotechnique","Dr. M. Kpante",8.94
190916,"Komi Kouma","IA & Big Data","CS220","Programmation avancée","Dr. M. Kpante",17.5
139163,"Komi Kouma","SCOM","EL201","Électrotechnique","Dr. Y. Amegah",17.49
760515,"Koffi Lawson","Génie mécanique","RS180","Réseaux avancés","Dr. K. Agbeko",10.73
992890,"Yao Doe","Informatique et Systèmes","RS180","Réseaux avancés","Dr. M. Kpante",11.56
252801,"Afi Amegah","Informatique et Systèmes","ME101","Mécanique générale","Dr. M. Kpante",19.73
407951,"Senam Komlan","Informatique et Systèmes","GL200","Conception logicielle","Pr. L. Mensah",18.85
131788,"Kossi Doe","IA & Big Data","AI310","Machine Learning","Pr. T. Lawson",16.58
808897,"Akoua Amegah","Systèmes Réseaux","AI310","Machine Learning","Pr. G. Komlan",13.78
318795,"Kossi Kpante","SCOM","GL200","Conception logicielle","Dr. K. Agbeko",1.34
629136,"Amah Mensah","IA & Big Data","CS220","Programmation avancée","Dr. K. Agbeko",3.41
580888,"Elom Lawson","IA & Big Data","EL201","Électrotechnique","Pr. D. Tchalla",4.44
849787,"Eyram Tchalla","IA & Big Data","CI150","Calcul scientifique","Pr. T. Lawson",5.98
377390,"Komi Doe","Génie civil","RS180","Réseaux avancés","Pr. D. Tchalla",0.3
487901,"Akoua Tchalla","Génie Logiciel","EL201","Électrotechnique","Pr. L. Mensah",0.15
677543,"Eyram Kpante","Informatique et Systèmes","ME101","Mécanique générale","Pr. D. Tchalla",3.21
838655,"Elom Lawson","Génie électrique","RS180","Réseaux avancés","Dr. M. Kpante",12.85
360659,"Yao Agbeko","Génie Logiciel","CS220","Programmation avancée","Dr. M. Kpante",1.89
643911,"Afi Tchalla","IA & Big Data","RS180","Réseaux avancés","Dr. Y. Amegah",2.42
523002,"Yao Amegah","Génie Logiciel","RS180","Réseaux avancés","Dr. S. Amouzou",6.24
773749,"Afi Kpante","Génie Logiciel","ME101","Mécanique générale","Pr. G. Komlan",13.05
363779,"Akoua Doe","Génie mécanique","CI150","Calcul scientifique","Dr. M. Kpante",1.46
618194,"Eyram Amegah","IA & Big Data","ME101","Mécanique générale","Dr. K. Agbeko",10.3
990858,"Koffi Komlan","Informatique et Systèmes","AI310","Machine Learning","Pr. T. Lawson",19.8
103274,"Koffi Tchalla","Génie civil","CS220","Programmation avancée","Dr. M. Kpante",7.72
560642,"Kossi Amouzou","Génie mécanique","AI310","Machine Learning","Dr. Y. Amegah",6.42
774357,"Koffi Amouzou","Informatique et Systèmes","CS220","Programmation avancée","Pr. L. Mensah",10.85
882002,"Akoua Mensah","SCOM","EL201","Électrotechnique","Dr. M. Kpante",8.52
565020,"Elom Amegah","Génie mécanique","EL201","Électrotechnique","Dr. Y. Amegah",4.02
729424,"Abla Amegah","Informatique et Systèmes","CS220","Programmation avancée","Dr. M. Kpante",16.58
251556,"Senam Kouma","Informatique et Systèmes","GL200","Conception logicielle","Pr. D. Tchalla",7.79
